Pillar Name,Question Title,Choice Title,Trusted Advisor Checks,Unnamed: 4,CN Notes,Question ID,Choice ID,Trusted Advisor Checks_translated
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Database logging should be enabled,,应启用数据库日志记录,pillar_1_q04,pillar_1_q04choice1,数据库日志记录应该被启用
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Enhanced monitoring should be configured for RDS DB instances,,应为 RDS 数据库实例配置增强监控,pillar_1_q04,pillar_1_q04choice1,增强监控应该为 RDS DB 实例配置。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,AWS WAF Classic Global Web ACL logging should be enabled,,应启用 AWS WAF Classic Global Web ACL 日志记录,pillar_1_q04,pillar_1_q04choice1,AWS WAF 经典全局 Web ACL 日志记录应该被启用
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Application and Classic Load Balancers logging should be enabled,,应启用应用程序和 Classic Load Balancer 日志记录,pillar_1_q04,pillar_1_q04choice1,应用程序和经典负载均衡器日志记录应该被启用
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Amazon Elasticsearch Service domain error logging to CloudWatch Logs should be enabled,,应启用 Amazon Elasticsearch Service 域错误日志记录到 CloudWatch Logs,pillar_1_q04,pillar_1_q04choice1,亚马逊 Elasticsearch Service 域错误日志记录到 CloudWatch Logs 应该被启用。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical cluster events,,应为关键集群事件配置 RDS 事件通知订阅,pillar_1_q04,pillar_1_q04choice1,数据库服务事件通知订阅应该为关键集群事件进行配置。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database security group events,,应为关键数据库安全组事件配置 RDS 事件通知订阅,pillar_1_q04,pillar_1_q04choice1,数据库安全组的关键事件应该配置 RDS 事件通知订阅。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database instance events,,应为关键数据库实例事件配置 RDS 事件通知订阅,pillar_1_q04,pillar_1_q04choice1,数据库实例关键事件应配置 RDS 事件通知订阅。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,An RDS event notifications subscription should be configured for critical database parameter group events,,应为关键数据库参数组事件配置 RDS 事件通知订阅,pillar_1_q04,pillar_1_q04choice1,数据库参数组的关键事件应配置 RDS 事件通知订阅。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Elastic Beanstalk environments should have enhanced health reporting enabled,,Elastic Beanstalk 环境应启用增强型健康报告,pillar_1_q04,pillar_1_q04choice1,弹性Beanstalk环境应启用增强的健康报告
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,API Gateway REST API stages should have AWS X-Ray tracing enabled,,API 网关 REST API 阶段应启用 AWS X-Ray 跟踪,pillar_1_q04,pillar_1_q04choice1,API网关REST API阶段应启用AWS X-Ray跟踪。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,API Gateway REST and WebSocket API execution logging should be enabled,,应启用 API Gateway REST 和 WebSocket API 执行日志记录,pillar_1_q04,pillar_1_q04choice1,应启用 API 网关 REST 和 WebSocket API 执行日志记录。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,CloudTrail trails should be integrated with Amazon CloudWatch Logs,,CloudTrail 跟踪应与 Amazon CloudWatch Logs 集成,pillar_1_q04,pillar_1_q04choice1,云跟踪跟踪应与Amazon CloudWatch日志集成。
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Amazon Redshift clusters should have audit logging enabled,,Amazon Redshift 集群应启用审计日志记录,pillar_1_q04,pillar_1_q04choice1,亚马逊 Redshift 集群应启用审核日志记录
Security,SEC 4 How do you detect and investigate security events?,"P1 Analyze logs, findings, and metrics centrally",GuardDuty should be enabled,,应启用 GuardDuty,pillar_1_q04,pillar_1_q04choice2,应启用 GuardDuty
Security,SEC 5 How do you protect your network resources?,P1 Create network layers,The VPC default security group should not allow inbound and outbound traffic Hs4Ma3G118,,VPC 默认安全组不应允许入站和出站流量 Hs4Ma3G118,pillar_1_q05,pillar_1_q05choice1,默认 VPC 安全组不应允许入站和出站流量。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Amazon Elasticsearch Service domains should be in a VPC,,Amazon Elasticsearch Service 域应位于 VPC 中,pillar_1_q05,pillar_1_q05choice2,Amazon Elasticsearch Service域应该位于VPC中。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,ECS services should not have public IP addresses assigned to them automatically Hs4Ma3G146,,ECS 服务不应自动分配公有 IP 地址 Hs4Ma3G146,pillar_1_q05,pillar_1_q05choice2,不应该自动为 ECS 服务分配公共 IP 地址。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Security Groups - Unrestricted Access 1iG5NDGVre,,安全组 - 不受限制的访问 1iG5NDGVre,pillar_1_q05,pillar_1_q05choice2,安全组 - 无限制访问 1iG5NDGVre
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Amazon RDS Security Group Access Risk,,Amazon RDS 安全组访问风险,pillar_1_q05,pillar_1_q05choice2,Amazon RDS 安全组访问风险
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,ELB Security Groups xSqX82fQu,,ELB 安全组 xSqX82fQu,pillar_1_q05,pillar_1_q05choice2,安全组 xSqX82fQu
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Secrets Manager secrets should be rotated within a specified number of days Hs4Ma3G112,,Secrets Manager Secret应在指定天数内轮换 Hs4Ma3G112,pillar_1_q05,pillar_1_q05choice2,密码管理器密钥应在指定天数内轮换
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,#NAME?,,建议但不强制,pillar_1_q05,pillar_1_q05choice2,无法翻译
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,VPC flow logging should be enabled in all VPCs,,所有 VPC 中都应启用 VPC 流日志记录,pillar_1_q05,pillar_1_q05choice2,在所有 VPC 中都应启用 VPC 流日志记录。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Security Groups - Specific Ports Unrestricted HCP4007jGY,,安全组 - 特定端口不受限制 HCP4007jGY,pillar_1_q05,pillar_1_q05choice2,安全组 - 特定端口无限制 HCP4007jGY
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Amazon RDS Security Group Access Risk nNauJisYIT,,Amazon RDS 安全组访问风险 nNauJisYIT,pillar_1_q05,pillar_1_q05choice2,亚马逊 RDS 安全组访问风险 nNauJisYIT
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Classic Load Balancers with HTTPS/SSL listeners should use a predefined security policy that has strong configuration Hs4Ma3G205,,具有 HTTPS/SSL 侦听器的 Classic Load Balancer 应使用具有强大配置的预定义安全策略 Hs4Ma3G205,pillar_1_q05,pillar_1_q05choice2,经典负载均衡器使用 HTTPS/SSL 侦听器应使用具有强配置的预定义安全策略。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,CloudFront distributions should have WAF enabled Hs4Ma3G201,,CloudFront 发行版应启用 WAF Hs4Ma3G201,pillar_1_q05,pillar_1_q05choice2,云前端分发应该启用 WAF 防护。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,IAM customer managed policies that you create should not allow wildcard actions for services Hs4Ma3G185,,您创建的 IAM 客户托管策略不应允许对服务 Hs4Ma3G185 执行通配符操作,pillar_1_q05,pillar_1_q05choice2,您创建的 IAM 客户管理策略不应该允许对服务 Hs4Ma3G185 使用通配符操作。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Security groups should only allow unrestricted incoming traffic for authorized ports Hs4Ma3G178,,安全组应仅允许授权端口 Hs4Ma3G178 的不受限制的传入流量,pillar_1_q05,pillar_1_q05choice2,安全组应仅允许授权端口的无限制入站流量。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,RDS instances should be deployed in a VPC Hs4Ma3G165,,RDS 实例应部署在 VPC Hs4Ma3G165 中,pillar_1_q05,pillar_1_q05choice2,虚拟私有云中应部署 RDS 实例。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Lambda function policies should prohibit public access Hs4Ma3G131,,Lambda 函数策略应禁止公共访问 Hs4Ma3G131,pillar_1_q05,pillar_1_q05choice2,禁止公众访问Lambda函数策略
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,API Gateway should be associated with a WAF Web ACL Hs4Ma3G125,,API 网关应与 WAF Web ACL Hs4Ma3G125 关联,pillar_1_q05,pillar_1_q05choice2,网关应与 WAF Web ACL Hs4Ma3G125 关联。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,EC2 instances should not have a public IPv4 address Hs4Ma3G123,,EC2 实例不应具有公有 IPv4 地址 Hs4Ma3G123,pillar_1_q05,pillar_1_q05choice2,不应该为 EC2 实例分配公共 IPv4 地址。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,VPC flow logging should be enabled in all VPCs Hs4Ma3G122,,所有 VPC 中都应启用 VPC 流日志记录 Hs4Ma3G122,pillar_1_q05,pillar_1_q05choice2,VPC 流量日志应在所有 VPC 中启用。
Security,SEC 5 How do you protect your network resources?,P0 Control traffic at all layers - restrict public subnet access.,Redshift clusters should use enhanced VPC routing Hs4Ma3G104,,Redshift 集群应使用增强型 VPC 路由 Hs4Ma3G104,pillar_1_q05,pillar_1_q05choice2,红移集群应该使用增强型 VPC 路由
Security,SEC 5 How do you protect your network resources?,P1 Control traffic at all layers - restrict private subnet access.,Security Groups - Specific Ports Unrestricted HCP4007jGY (Suggested but not mandatory),,安全组 - 特定端口不受限制 HCP4007jGY（建议但不强制）,pillar_1_q05,pillar_1_q05choice3,安全组 - 特定端口无限制 HCP4007jGY（建议但非必需）
Security,SEC 6 How do you protect your compute resources?,P2 Perform vulnerability management,Amazon EC2 instances with Microsoft SQL Server end of support Qsdfp3A4L3,,搭载 Microsoft SQL Server 的 Amazon EC2 实例支持终止 Qsdfp3A4L3,pillar_1_q06,pillar_1_q06choice1,Amazon EC2 实例上的 Microsoft SQL Server 停止支持 Qsdfp3A4L3
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Security Groups - Unrestricted Access 1iG5NDGVre,,安全组 - 不受限制的访问 1iG5NDGVre,pillar_1_q06,pillar_1_q06choice2,安全组 - 无限制访问 1iG5NDGVre
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Security Groups - Specific Ports Unrestricted HCP4007jGY,,安全组 - 特定端口不受限制 HCP4007jGY,pillar_1_q06,pillar_1_q06choice2,安全组 - 特定端口无限制 HCP4007jGY
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Amazon RDS Security Group Access Risk,,Amazon RDS 安全组访问风险,pillar_1_q06,pillar_1_q06choice2,Amazon RDS 安全组访问风险
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,ELB Security Groups,,ELB 安全组,pillar_1_q06,pillar_1_q06choice2,安全组
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,EC2 instances should not use multiple ENIs Hs4Ma3G208,,EC2 实例不应使用多个 ENI Hs4Ma3G208,pillar_1_q06,pillar_1_q06choice2,EC2实例不应使用多个ENI
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Security groups should not allow unrestricted access to ports with high risk Hs4Ma3G204,,安全组不应允许不受限制地访问高风险端口 Hs4Ma3G204,pillar_1_q06,pillar_1_q06choice2,安全组不应允许对高风险端口进行无限制访问。
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Application load balancer should be configured to drop http headers Hs4Ma3G183,,应配置应用程序负载平衡器以删除 http 标头 Hs4Ma3G183,pillar_1_q06,pillar_1_q06choice2,应用程序负载均衡器应配置为删除 HTTP 标头 Hs4Ma3G183
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Database Migration Service replication instances should not be public Hs4Ma3G132,,数据库迁移服务复制实例不应是公共的 Hs4Ma3G132,pillar_1_q06,pillar_1_q06choice2,数据库迁移服务复制实例不应该是公开的。
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Lambda functions should use supported runtimes Hs4Ma3G130,,Lambda 函数应使用受支持的运行时 Hs4Ma3G130,pillar_1_q06,pillar_1_q06choice2,支持的运行时应该使用 Lambda 函数。
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,AWS Lambda Functions Using Deprecated Runtimes L4dfs2Q4C5,,使用已弃用运行时的 AWS Lambda 函数 L4dfs2Q4C5,pillar_1_q06,pillar_1_q06choice2,使用已弃用运行时的 AWS Lambda 函数
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Amazon Redshift clusters should prohibit public access Hs4Ma3G103,,Amazon Redshift 集群应禁止公共访问 Hs4Ma3G103,pillar_1_q06,pillar_1_q06choice2,亚马逊 Redshift 集群应禁止公共访问
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Amazon Elastic MapReduce cluster master nodes should not have public IP addresses Hs4Ma3G101,,Amazon Elastic MapReduce 集群主节点不应具有公共 IP 地址 Hs4Ma3G101,pillar_1_q06,pillar_1_q06choice2,亚马逊弹性 MapReduce 集群主节点不应该有公共 IP 地址。
Security,SEC 6 How do you protect your compute resources?,P1 Reduce attack surface,Amazon SageMaker notebook instances should not have direct internet access Hs4Ma3G100,,Amazon SageMaker 笔记本实例不应直接访问互联网 Hs4Ma3G100,pillar_1_q06,pillar_1_q06choice2,亚马逊 SageMaker 笔记本实例不应该有直接的互联网访问权限。
Security,SEC 6 How do you protect your compute resources?,P1 Automate compute protection,Amazon EC2 should be configured to use VPC endpoints that are created for the Amazon EC2 service Hs4Ma3G206,,应将 Amazon EC2 配置为使用为 Amazon EC2 服务 Hs4Ma3G206 创建的 VPC 终端节点,pillar_1_q06,pillar_1_q06choice4,亚马逊 EC2 应配置为使用为亚马逊 EC2 服务创建的 VPC 端点。
Security,SEC 6 How do you protect your compute resources?,P1 Automate compute protection,AWS Config should be enabled Hs4Ma3G196,,应启用 AWS Config Hs4Ma3G196,pillar_1_q06,pillar_1_q06choice4,应启用 AWS Config
Security,SEC 6 How do you protect your compute resources?,P1 Automate compute protection,Auto scaling groups associated with a load balancer should use load balancer health checks Hs4Ma3G177,,与负载均衡器关联的自动扩展组应使用负载均衡器健康检查 Hs4Ma3G177,pillar_1_q06,pillar_1_q06choice4,与负载均衡器关联的自动扩展组应使用负载均衡器运行状况检查。
Security,SEC 6 How do you protect your compute resources?,P1 Automate compute protection,RDS DB instances should be configured to copy tags to snapshots Hs4Ma3G164,,应配置 RDS DB 实例以将标签复制到快照 Hs4Ma3G164,pillar_1_q06,pillar_1_q06choice4,复制标签到快照的 RDS DB 实例应该进行配置。
